Name,auction_value
Jhemiangel Tovar,-4344679861643737.0
Kaleb Ort,-4339680870884877.0
Pedro Rodriguez,-4339631443687401.0
Franklyn Moreta,-4339017467681483.0
Junior Sanchez,-4299993431623903.0
Domingo Geronimo,-4259670999862596.0
Ben Casparius,-4245952123519509.5
Luis German,-4235613050709090.5
Kevin Tejada,-4233076756116493.5
Yosver Zulueta,-4175916055255657.5
Hunter Gaddis,-4167195846322445.0
Adrian Morejon,-4161721264120691.0
Wilton Rondon,-4146156203823859.0
Chase Silseth,-4141449677116051.0
Aaron Bummer,-4125457770170436.0
Jhonly Taveras,-4121347459355297.0
Samuel Fabian,-4112457323297961.5
Roberto Medina,-4112143102241470.5
Jose Garces,-4108896927095572.0
Nicolas De La Cruz,-4065077594336691.0
Dariel Francia,-4048682450464191.0
Tim Herrin,-3970361188092557.5
Diovel Mariano,-3954803751396246.5
Johander Rubio,-3942761372168356.0
Lluveres Severino,-3931989071800051.0
Melvyn Amador,-3931203508813079.0
Antoni Cuello,-3893183460448687.0
Yoan Valdez,-3883147469427839.0
Abraham Gaitan,-3877822462420770.5
Joey Wentz,-3873582301869149.0
Zach Brzykcy,-3842832224284558.5
Slade Cecconi,-3840560713548534.5
Jesus Clode,-3827029728956289.0
Albert Suárez,-3793400954578633.5
Gregory Soto,-3783036968541073.0
Darcy Longstaff,-3774497599360810.5
Eli Morgan,-3764968387948327.0
Brandison Polanco,-3756355402520547.0
Alexis Torres,-3756089637921772.0
Sawyer Gipson-Long,-3752149732276104.0
Noah Schultz,-3746522071187949.0
Edgar Isea,-3720480458263919.0
Miguel Cordero,-3717186184516525.0
Gus Varland,-3717010958679589.0
Joneiker Arellano,-3708360379655438.5
Luis Guerrero,-3693174930863520.0
Mark Leiter Jr.,-3691320696078564.0
Miguel Martinez,-3688869235088741.0
Jeff Criswell,-3668643555226977.5
Luis Castillo,-3664727166704441.5
Yomil Maysonet,-3661461431150797.0
Ezequiel Bonilla,-3659072474071333.0
