Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Victor Labrada","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.211962,0.0909873,0.263388,0.34545,0.292846,0.311097,0.271922,0.603943,0.0991347,6.15791,0.282154,,0.00259105,0.0847617,-0.033396,78.3923,0.00259105,-0.0106943,-0.022876119939610362,-0.010694287717342377,0.0000867577,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Victor Labrada","sa3015062",700032
"Andy Lugo","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.227819,0.053675,0.262371,0.204576,0.276698,0.351998,0.275403,0.628696,0.124178,4.91314,0.294408,,0.000966645,0.0875877,-0.03057,70.0625,0.000966645,0.000712953,-0.03431824309518561,0.0007129529840312898,0.0000831886,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andy Lugo","sa3018400",702889
"Andrew Navigato",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.213157,0.0604554,0.282841,0.213744,0.272284,0.358277,0.276308,0.630562,0.145121,5.22978,0.273904,,-0.00109725,0.0883228,-0.0298349,74.6315,-0.00109725,-0.00262224,-0.030997035675682127,-0.0026222390588372946,0.000081758,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andrew Navigato","sa3010703",685382
"Tyler Tolve","ATL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.198397,0.0569156,0.381989,0.148998,0.250894,0.335647,0.257028,0.586541,0.13725,3.50776,0.298176,,-0.00073229,0.072669,-0.0454887,61.1866,-0.00073229,0.014259,-0.0467341419425793,0.01425904966890812,0.0000813538,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Tyler Tolve","sa3016960",681172
"Antonio Jimenez","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.215755,0.0759402,0.237402,0.31988,0.280994,0.317424,0.266858,0.598418,0.101669,4.41854,0.270435,,0.000415645,0.0806501,-0.0375076,71.6925,0.000415645,0.000657342,-0.03313456539763138,0.0006573420250788331,0.0000811358,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Antonio Jimenez","sa3034692",806128
"Thomas Gavello","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.199295,0.0644664,0.344525,0.187117,0.27774,0.324184,0.269415,0.601924,0.124889,4.05736,0.289796,,-0.000658867,0.082726,-0.0354317,72.5363,-0.000658867,0.000712953,-0.03320897795492783,0.0007129529840312898,0.0000792124,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Thomas Gavello","sa3020122",687284
"Jesus Alexander","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.205361,0.0749288,0.277796,0.269727,0.26806,0.297804,0.253121,0.565864,0.0924428,2.87951,0.276006,,-0.0009859391,0.0694971,-0.0486606,61.3747,-0.0009859391,0.014259,-0.04676490614656359,0.01425904966890812,0.0000782065,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jesus Alexander","sa3021628",808377
"Max Ferguson","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.201192,0.108919,0.268853,0.405123,0.290832,0.302614,0.268572,0.593446,0.101422,5.85253,0.268368,,0.00503554,0.0820413,-0.0361164,65.3566,0.00503554,0.00213886,-0.03579569794237614,0.002138857962563634,0.0000779145,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Max Ferguson","sa3016819",681132
"Andrew Velazquez","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207568,0.058456,0.312054,0.187327,0.255822,0.319445,0.253247,0.575267,0.111877,5.62777,0.285945,,0.00517041,0.0695993,-0.0485584,60.4017,0.00517041,0.00784248,-0.04150085058063269,0.007842478342354298,0.0000777577,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andrew Velazquez","14196",623205
"Sir Jamison Jones","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.20093,0.0864348,0.29757,0.290468,0.277594,0.315081,0.265367,0.592674,0.114151,2.71165,0.271946,,-0.00108779,0.0794398,-0.038718,67.3904,-0.00108779,0.0072165,-0.03973694960586727,0.007216504774987698,0.0000767138,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Sir Jamison Jones","sa3067322",806550
