Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Castillo","SEA",13,9,18,3.43197,31,31,0,0,,180,744,151,75,69,22,54,,8,188,9.42616,2.70474,3.48505,1.11127,0.253098,0.072624,0.18047429621219635,0.221024,1.13942,0.272575,0.747939,,,3.70482,2.84492,3.15215,92.08999633789062,,,,,,,858.8000000000001,4.771111111111112,804,4.466666666666667,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Tanner Bibee","CLE",12,9,16,3.64258,29,29,0,0,,168,700,149,74,68,21,48,,7,171,9.15505,2.58053,3.54774,1.13982,0.244076,0.0687976,0.17527860403060913,0.231066,1.1738,0.282144,0.734321,,,3.76423,2.79327,2.91355,89.26000213623047,,,,,,,774.5000000000001,4.610119047619048,744,4.428571428571429,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Mitch Keller","PIT",12,10,16,4.01613,31,31,0,0,,179,765,177,87,80,21,53,,8,167,8.40671,2.65982,3.16063,1.07554,0.218356,0.0690862,0.1492699682712555,0.250823,1.28358,0.300988,0.71326,,,3.86755,2.78068,2.72269,299.19000244140625,,,,,,,757.1000000000001,4.229608938547487,773,4.318435754189944,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Seth Lugo","KCR",11,11,16,4.14003,31,31,0,0,,187,788,187,94,86,23,51,,8,162,7.8104,2.44028,3.20062,1.08613,0.205479,0.0641999,0.1412794440984726,0.256621,1.27465,0.302135,0.698407,,,3.93851,2.78007,2.53083,187.4499969482422,,,,,,,761.7,4.0732620320855615,783,4.18716577540107,,,,,,,,,,,,,,,,,,,"Seth Lugo","12447",607625
"Nathan Eovaldi","TEX",11,9,16,3.8348,29,29,0,0,,173,718,157,80,74,21,51,,7,164,8.53056,2.64924,3.22,1.11063,0.228331,0.0709103,0.15742095559835434,0.238632,1.2047,0.286829,0.716438,,,3.88412,2.74916,2.69174,200.11000061035156,,,,,,,767.7,4.437572254335261,746,4.312138728323699,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Freddy Peralta","MIL",13,9,18,3.56285,31,31,0,0,,170,707,138,73,67,23,60,,7,191,10.1009,3.19407,3.16239,1.21497,0.269547,0.0852351,0.184311643242836,0.215258,1.16529,0.269358,0.750709,,,3.87377,2.71899,3.41867,97.94000244140625,,,,,,,797.3,4.6899999999999995,732,4.305882352941176,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Zach Eflin","BAL",11,10,16,3.88941,29,29,0,0,,175,723,171,83,76,23,33,,7,148,7.63676,1.67828,4.55036,1.16578,0.205346,0.0451275,0.16021883115172386,0.250296,1.16448,0.289647,0.70435,,,3.82764,2.69107,2.27562,186.1300048828125,,,,,,,743.4999999999999,4.248571428571428,752,4.297142857142857,,,,,,,,,,,,,,,,,,,"Zach Eflin","13774",621107
"Michael King","SDP",12,10,17,3.77296,31,31,0,0,,177,743,156,81,74,22,62,,8,185,9.44189,3.13304,3.01365,1.11762,0.249652,0.0828404,0.16681146621704102,0.230952,1.22803,0.286625,0.730574,,,3.85947,2.69085,2.65158,61.63999938964844,,,,,,,793.5999999999998,4.483615819209039,759,4.288135593220339,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Brayan Bello","BOS",10,10,15,4.11322,29,29,0,0,,164,707,166,82,75,16,58,,7,153,8.42464,3.17523,2.65324,0.894272,0.217041,0.0818021,0.1352386251091957,0.258342,1.36418,0.316732,0.706091,,,3.78003,2.67251,2.36484,316.8900146484375,,,,,,,696.2000000000002,4.245121951219513,723,4.408536585365853,,,,,,,,,,,,,,,,,,,"Brayan Bello","23920",678394
"Shohei Ohtani","LAD",9,6,13,3.19682,21,21,0,0,,123,504,96,48,44,15,41,,5,150,10.9368,2.99184,3.65554,1.06273,0.297156,0.0812891,0.21586649864912033,0.209861,1.1119,0.277784,0.764792,,,3.39674,2.65715,2.89506,1.5700000524520874,,,,,,,638.1,5.187804878048781,582,4.7317073170731705,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
