Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Riley Greene","DET",147,637,562,150,94,28,5,22,84,80,67,2,158,5,3,0,,6,2,0.267747,0.104462,0.248071,0.421098,0.348415,0.457159,0.348322,0.805574,0.189412,4.86759,0.332682,0.315239,-0.940898,94.0706,19.5556,129.998,-0.625659,5.7536,21.238759100437164,-1.2714042663574219,4.25526,112.51000213623047,,,,,,,816.3,5.553061224,816.3,5.553061224,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Gabriel Moreno","ARI",128,507,449,127,90,25,1,10,58,59,49,1,83,4,4,1,,6,2,0.282814,0.0963871,0.163505,0.589505,0.356001,0.4138,0.337488,0.769801,0.130986,3.85296,0.324247,-0.802164,-0.63569,70.5075,11.1528,115.185,-1.43785,7.15396,7.775491237640381,16.128962516784668,4.20973,190.6199951171875,,,,,,,599.2,4.68125,599.2,4.68125,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Corbin Carroll","ARI",156,672,583,151,91,26,11,23,108,84,70,1,130,11,5,3,,38,7,0.25935,0.104172,0.193379,0.538693,0.347395,0.461758,0.349946,0.809153,0.202408,8.30645,0.294138,1.95678,3.19631,100.118,21.5084,123.569,5.15309,0.365008,24.092878818511963,-6.234991699457169,4.1555,8.90999984741211,,,,,,,912.5,5.849358974,912.5,5.849358974,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Andrés Giménez","TOR",147,637,579,153,107,29,3,14,71,70,33,2,107,18,4,3,,27,5,0.264781,0.0513599,0.167998,0.305717,0.322275,0.395718,0.313785,0.717993,0.130937,6.00777,0.302064,0.0544961,2.15683,76.3639,1.8489,105.862,2.21132,10.0126,6.483661413192749,12.337592363357544,4.13689,171.32000732421875,,,,,,,700.9,4.76802721,700.9,4.76802721,,,,,,,,,,,,,,,,,,,"Andres Gimenez","19950",665926
"Willy Adames","SFG",156,672,597,145,84,35,1,24,83,84,67,2,158,3,4,1,,14,4,0.242673,0.099412,0.235706,0.421763,0.319911,0.427769,0.323981,0.747681,0.185096,4.40566,0.287831,0.546222,-0.000194102,86.0741,7.46485,109.695,0.546028,1.58941,8.336600959300995,8.789414167404175,4.07991,94.88999938964844,,,,,,,773.2,4.956410256,773.2,4.956410256,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Manny Machado","SDP",154,665,605,161,100,30,1,30,84,101,53,6,129,2,5,0,,8,2,0.26606,0.079504,0.194473,0.408817,0.32455,0.466197,0.337491,0.790747,0.200137,3.56852,0.291146,-0.563759,-0.448487,92.4085,14.6181,120.498,-1.01225,1.28944,15.287850618362427,2.0644354820251465,4.07921,38.470001220703125,,,,,,,845.9,5.492857142,845.9,5.492857142,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Carlos Correa","MIN",130,560,491,132,84,27,2,20,74,69,60,4,109,5,4,1,,1,0,0.269332,0.106385,0.193776,0.549012,0.351054,0.449844,0.346176,0.800898,0.180512,2.67109,0.30701,-0.364662,-1.09923,81.7325,16.2248,127.974,-1.46389,-0.184477,16.46078372001648,4.31552292406559,4.07371,246.08999633789062,,,,,,,722.8,5.56,722.8,5.56,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Steven Kwan","CLE",156,672,592,168,125,27,5,11,93,61,68,1,66,5,4,3,,18,4,0.283263,0.101575,0.0975642,1.04111,0.360603,0.400586,0.335772,0.761189,0.117324,5.65294,0.302089,0.497092,0.308528,92.4518,13.8426,121.223,0.80562,6.16829,17.124284207820892,-1.0317068099975586,3.97558,146.2100067138672,,,,,,,801,5.134615384,801,5.134615384,,,,,,,,,,,,,,,,,,,"Steven Kwan","24610",680757
"Wyatt Langford","TEX",144,623,554,148,91,30,4,23,84,86,59,2,123,5,4,0,,19,5,0.267743,0.0952244,0.198206,0.480432,0.342262,0.461105,0.346433,0.803367,0.193363,5.93652,0.305393,0.415627,0.690447,91.0559,18.1786,127.496,1.10607,3.28577,20.70631241798401,-3.089233875274658,3.96433,45.83000183105469,,,,,,,814.9,5.659027777,814.9,5.659027777,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Isaac Paredes","HOU",141,609,521,127,75,26,1,25,75,84,70,1,102,14,4,1,,2,1,0.243215,0.114256,0.166733,0.685263,0.344953,0.440624,0.342904,0.785578,0.197409,2.57172,0.255232,-0.68053,-1.27564,87.28,16.0403,126.541,-1.95617,-1.02431,16.538466572761536,1.1506907939910889,3.92357,201.60000610351562,,,,,,,759.3,5.385106382,759.3,5.385106382,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
