Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"Angel Zerpa","KCR",2.81524,2.1679,0,3.86928,53.6875,0.239188,0.539703,12.2792,0.880795,57.4794,247.807,58.9394,26.8604,24.7116,6.30636,18.9733,1.20232,2.62964,51.6903,8.09356,2.9708,2.72437,0.987436,0.208591,0.0765648,0.13202592730522156,0.260558,1.35549,0.312905,0.738991,,,3.92172,0.214074,0.276967,999,3.15231,-0.529916,0.607861,3.15231,0.529916,4.18952,285.5999999999999,5.010526315789472,298,5.228070175438597,"Angel Zerpa","22717",672582
"Chayce McDermott","BAL",1.76625,1.56361,1.93675,4.14107,17.9805,4.12735,0,0.341359,0,36.6875,156.659,30.7615,18.3485,16.8806,4.7247,18.0498,0,1.24853,41.0337,10.0662,4.42789,2.27336,1.15904,0.261931,0.115217,0.1467135027050972,0.223948,1.33046,0.284239,0.721924,,,4.18178,0.210131,0.28067,666.3200073242188,1.9041,-0.41931,0.770826,1.9041,0.41931,3.97223,156.70000000000002,4.235135135135136,145,3.918918918918919,"Chayce McDermott","29866",694646
"Brusdar Graterol","LAD",1.17241,1.02782,0,3.20697,18.7934,0.0397779,0.735381,3.23438,0.873918,19.9937,83.056,18.4005,7.74385,7.12434,1.67212,5.75101,0.147649,0.72284,17.116,7.70462,2.58877,2.97617,0.752691,0.206077,0.0692425,0.13683491200208664,0.240272,1.20796,0.289449,0.752282,,,3.51295,0.208504,0.250836,999,0.744356,2.72153,1.22397,0.744356,-2.72153,3.36804,106.60000000000001,5.33,104,5.2,"Brusdar Graterol","20367",660813
"Jordan Romano","PHI",3.33254,4.60596,0,3.81498,51.2829,0,22.3177,5.94787,5.86147,54.0403,227.971,48.2172,24.8988,22.9069,7.34403,19.8456,3.991,2.65136,57.5056,9.57713,3.30513,2.89765,1.22309,0.252249,0.087053,0.16519638150930405,0.234663,1.25948,0.290654,0.747025,,,4.05382,0.206403,0.354315,190.4600067138672,1.28095,-0.743828,1.64037,1.28095,0.743828,2.81284,369.7,6.846296296296296,360,6.666666666666667,"Jordan Romano","16122",605447
"Joey Lucchesi","NYM",2.11311,2.97546,3.60445,4.37488,8.02537,8.02537,0,0,0,44.8356,197.134,46.3942,23.6896,21.7945,5.22802,18.957,0,1.31094,29.1824,5.85788,3.80531,1.5394,1.04944,0.148033,0.0961632,0.05187026411294937,0.262313,1.45758,0.288976,0.717907,,,4.73674,0.206274,0.39419,999,2.17219,0.816773,0.629828,2.17219,-0.816773,4.16023,149.9,3.3311111111111114,158,3.511111111111111,"Joey Lucchesi","19320",664192
"Jake Cousins","NYY",3.1503,2.58827,0,3.71414,53.9994,0,1.81314,14.0759,1.21313,55.8772,241.836,45.9595,25.0647,23.0596,6.53057,29.2165,1.57377,4.05695,66.8633,10.7695,4.70583,2.28854,1.05186,0.276482,0.120812,0.15567079186439514,0.220363,1.34538,0.291702,0.75888,,,4.07904,0.205855,0.430629,750.0399780273438,1.14956,-1.79594,0.606946,1.14956,1.79594,4.19074,309.70000000000005,5.530357142857143,290,5.178571428571429,"Jake Cousins","21620",664776
"Joe Rock","TBR",1.54061,1.82835,0.905459,3.90833,20.5634,1.77426,0.672226,0.793964,0,29.6254,125.335,29.183,13.9838,12.8651,3.61343,8.5426,0,1.39932,25.3791,7.71002,2.59519,2.97089,1.09774,0.202491,0.0681583,0.13433250039815903,0.252902,1.27342,0.295943,0.726788,,,4.04553,0.203518,0.271124,999,0.884892,-2.15628,1.00272,0.884892,2.15628,3.66305,126.4,4.213333333333334,127,4.233333333333333,"Joe Rock","sa3017755",697812
"Andrew Kittredge","BAL",4.33584,3.41019,0,3.6989,61.2825,0,2.88067,17.6275,4.89918,62.0657,259.756,59.2845,27.7264,25.5083,8.05023,17.667,0.985935,2.19308,57.7251,8.37057,2.56184,3.2674,1.16734,0.222228,0.0680137,0.15421444177627563,0.247126,1.23984,0.294246,0.749454,,,3.95247,0.203281,0.336448,648.3900146484375,1.64273,1.12294,0.62827,1.64273,-1.12294,4.16231,350,5.645161290322581,349,5.629032258064516,"Andrew Kittredge","12828",552640
"Drey Jameson","ARI",3.29053,1.22748,0.541783,3.63123,34.1175,0.7409,0.00192322,2.18706,0,41.0899,175.613,39.6841,18.0202,16.5786,4.40412,14.6896,0,1.66756,38.5696,8.44797,3.21749,2.62564,0.964644,0.219629,0.0836477,0.13598090410232544,0.249185,1.32329,0.3034,0.754098,,,3.87677,0.202717,0.444236,999,1.47613,-0.981085,0.78305,1.47613,0.981085,3.95593,185.20000000000005,4.517073170731709,188,4.585365853658536,"Drey Jameson","26260",686753
"Eduard Bazardo","SEA",2.06919,0.978093,0,3.9363,38.4149,0,0.738766,1.66715,0,42.9665,178.501,37.7836,20.4262,18.7921,4.80828,14.2633,0,1.42128,42.8067,8.96653,2.98768,3.00117,1.00717,0.239812,0.0799063,0.15990616381168365,0.232063,1.21134,0.286241,0.697792,,,3.72384,0.201338,0.0878608,999,2.05902,-1.2657,0.874336,2.05902,1.2657,3.83422,211.89999999999998,4.927906976744185,204,4.744186046511628,"Eduard Bazardo","20997",660825
