Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"Cole Ragans","KCR",12.0085,9.561,17.8,3.51362,30.78,30.78,0,0,,182.633,763.834,156.321,77.3875,71.3002,19.4402,69.004,0.5507,6.488,206.984,10.2,3.40047,2.99959,0.958,0.27098,0.090339,0.1806408241391182,0.227098,1.23376,0.296332,0.746749,0.407267,,3.52365,3.62024,4.0963,48.540000915527344,,,,,,,903.9,4.939344262295082,857,4.683060109289618,"Cole Ragans","21846",666142
"Dylan Cease","SDP",12.5382,9.8308,18.323,3.52488,32,32,0,0,,188.994,787.802,156.035,79.975,74.02,22.4902,70.6028,1.0123,6.4419,223.971,10.6657,3.36215,3.17227,1.071,0.284299,0.08962,0.19467897713184357,0.219533,1.19918,0.287628,0.751533,0.380462,,3.56631,3.6127,3.71086,46.709999084472656,,,,,,,939.4,4.97037037037037,876,4.634920634920635,"Dylan Cease","18525",656302
"Logan Webb","SFG",12.4087,10.6916,20.519,3.46068,32,32,0,0,,201.109,840.056,201.947,85.9258,77.3306,16.8708,45.1597,0.8459,6.4382,174.709,7.81853,2.02098,3.86869,0.755,0.207973,0.053758,0.15421493723988533,0.256129,1.22872,0.310073,0.721207,0.558776,,3.28928,3.55093,3.52747,101.61000061035156,,,,,,,950.1000000000001,4.726865671641792,981,4.880597014925373,"Logan Webb","17995",657277
"Framber Valdez","HOU",12.0873,9.0007,19.036,3.42279,29.16,29.16,0,0,,184.592,766.261,172.532,77.8026,70.2023,15.6493,59.0749,0.3517,8.5898,177.334,8.64609,2.88026,3.00184,0.763,0.231427,0.077095,0.15433214604854584,0.246969,1.25469,0.310281,0.733456,0.568398,,3.44693,3.50205,3.59603,62.61000061035156,,,,,,,872.4000000000001,4.715675675675676,867,4.686486486486486,"Framber Valdez","17295",664285
"Logan Gilbert","SEA",12.1642,10.8076,20.2238,3.43518,32,32,0,0,,198.742,808.222,176.38,82.2148,75.8571,25.2181,43.0588,1.1162,6.1069,207.704,9.40586,1.94991,4.82373,1.142,0.256989,0.053276,0.20371298491954803,0.232368,1.10414,0.287308,0.745243,0.405621,,3.468,3.48445,3.48959,26.860000610351562,,,,,,,976.5000000000001,4.907035175879398,939,4.71859296482412,"Logan Gilbert","22250",669302
"Blake Snell","LAD",12.0991,8.1148,16.3955,3.50539,29.16,29.16,0,0,,169.982,712.116,134.269,71.6607,66.206,20.6623,73.1671,0.4123,5.0639,220.623,11.6813,3.87396,3.01533,1.094,0.309813,0.102746,0.2070671021938324,0.211819,1.22034,0.289371,0.760609,0.397857,,3.53156,3.41212,3.41069,42.290000915527344,,,,,,,859.3000000000001,5.054705882352941,785,4.617647058823529,"Blake Snell","13543",605483
"Roki Sasaki",,10.2569,6.3909,13.7043,3.29879,24.3,24.3,0,0,,138.51,566.503,110.339,54.8863,50.7684,16.4211,43.4916,0.3835,6.5329,178.741,11.6141,2.82596,4.10978,1.067,0.315516,0.0767721,0.23874402791261673,0.213637,1.11061,0.29229,0.756217,0.395873,,3.21028,3.37712,3.22361,999,,,,,,,753.8000000000002,5.423021582733814,695,5,"Roki Sasaki","sa3025686",808963
"Max Fried","NYY",11.7265,8.6905,17.3697,3.35696,29.16,29.16,0,0,,173.047,721.328,162.603,71.3833,64.5456,17.3623,48.1075,0.5194,6.4631,164.857,8.57405,2.50203,3.42684,0.903,0.228546,0.066693,0.1618531420826912,0.243872,1.21765,0.299751,0.747451,0.509149,,3.51152,3.28058,3.52611,101.04000091552734,,,,,,,815.3000000000002,4.712716763005782,812,4.69364161849711,"Max Fried","13743",608331
"George Kirby","SEA",11.133,10.3398,17.3918,3.51892,30.78,30.78,0,0,,180.232,735.343,169.057,76.4837,70.4693,23.3101,27.3805,0.4353,7.1696,170.633,8.52062,1.36726,6.2319,1.164,0.232045,0.037235,0.194809902459383,0.241237,1.08991,0.287554,0.732303,0.411601,,3.52943,3.22986,2.94144,43.11000061035156,,,,,,,849.6999999999999,4.720555555555555,841,4.6722222222222225,"George Kirby","25436",669923
"Aaron Nola","PHI",11.7772,10.1057,17.5396,3.83231,30.78,30.78,0,0,,187.668,780.647,178.309,86.4791,79.9111,26.2318,44.8599,0.7767,5.9368,185.142,8.87889,2.15135,4.12712,1.258,0.237165,0.057465,0.17970005050301552,0.244308,1.18917,0.293315,0.733139,0.428643,,3.82253,3.22888,3.34872,84.29000091552734,,,,,,,825.6000000000001,4.391489361702129,819,4.3563829787234045,"Aaron Nola","16149",605400
