Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jonathan Ornelas","TEX",5.636,17.979,16.4931,3.59789,2.66929,0.643382,0.0588869,0.226332,1.73513,1.36276,1.14042,0.0506163,4.86146,0.184097,0.0902999,0.0710531,0.378829,0.264997,0.0781023,0.218145,0.0634305,0.270397,0.234583,0.274873,0.305463,0.257695,0.580336,0.0873182,4.49641,0.293291,,-0.00975382,1.34368,-0.759471,65.0762,-0.00975382,-0.01,-0.728197337128222,0.16395061276853085,0.00362429,999,,,,,,,12.3,2.05,12.3,2.05,,,,,,,,,,,,,,,,,,,"Jonathan Ornelas","24597",680716
"Cooper Bowman","CIN",9.838,38.043,34.5309,7.44763,4.94597,1.55896,0.0867615,0.855939,4.18316,3.47167,2.63452,0.0202332,9.80767,0.428396,0.232464,0.216758,0.599516,1.45967,0.285483,0.21568,0.069251,0.257805,0.268618,0.277864,0.340215,0.272945,0.618079,0.124535,5.61113,0.273517,,0.113262,3.3101,-1.1401,66.9024,0.113262,0,-1.3924164324998856,0.15182098746299744,0.00271357,750.9600219726562,,,,,,,30.3,3.03,30.3,3.03,,,,,,,,,,,,,,,,,,,"Cooper Bowman","sa3016966",688682
"Tony Kemp",,3.051,8.692,7.68712,1.67891,1.27701,0.298747,0.0407763,0.0623796,0.853404,0.582959,0.742141,0.00973461,1.18912,0.104558,0.077481,0.080703,0.166285,0.188555,0.0617041,0.218406,0.0853821,0.136807,0.624108,0.29329,0.292223,0.264304,0.585513,0.0738169,5.02719,0.248197,,-0.00396389,0.695835,-0.320938,70.3831,-0.00396389,0,-0.29851797688752413,0.031937096267938614,0.0023931,999,,,,,,,6.2,2.066666666,6.2,2.066666666,,,,,,,,,,,,,,,,,,,"Tony Kemp","14894",643393
"Tyler Callihan","CIN",4.261,14.195,12.9879,2.8674,1.878,0.606602,0.0561385,0.326659,1.51053,1.35855,0.920467,0.0246737,4.03364,0.114964,0.0767629,0.0949101,0.192545,0.381161,0.0995291,0.220775,0.0648444,0.284159,0.228197,0.276795,0.351578,0.275352,0.628373,0.130803,5.49081,0.291893,,0.0131229,1.26261,-0.397895,68.5231,0.0131229,0,-0.5211817715317011,0.0657561719417572,0.00178485,999,,,,,,,9.7,2.425,9.7,2.425,,,,,,,,,,,,,,,,,,,"Tyler Callihan","sa1169610",682997
"Cooper Hummel","HOU",3.003,8.348,7.35738,1.54293,1.02249,0.344488,0.0378459,0.138103,0.928561,0.65655,0.812051,0.018756,2.17557,0.122751,0.0459684,0.00984868,0.137256,0.20403,0.0632979,0.209711,0.097275,0.26061,0.373259,0.297156,0.323133,0.277905,0.620289,0.113422,5.33614,0.276014,,-0.000129853,0.759682,-0.216851,80.8197,-0.000129853,0.05,-0.1833375290298136,-0.0890277735888958,0.000611368,999,,,,,,,7.2,2.4,7.2,2.4,,,,,,,,,,,,,,,,,,,"Cooper Hummel","19458",669450
"Matthew Lugo","LAA",3.404,12.632,11.7069,2.69606,1.74561,0.562897,0.0609635,0.326592,1.38915,1.25737,0.70653,0.0256177,3.3342,0.126665,0.0710563,0.0208487,0.166919,0.297786,0.0807035,0.230297,0.0559318,0.263948,0.211904,0.279852,0.372486,0.283819,0.652338,0.14219,5.36903,0.291908,,0.00672094,1.20967,-0.268,81.663,0.00672094,0,-0.2583158193156123,-0.15759259462356567,0.000535592,750.0399780273438,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Matthew Lugo","sa1169598",683090
"Victor Mesa Jr.","MIA",13.064,48.063,44.4158,10.0219,6.79842,2.11733,0.218848,0.887306,4.49917,4.50189,2.83738,0.0709669,11.2387,0.303771,0.346821,0.15921,0.827022,0.626799,0.179246,0.225638,0.0590346,0.233832,0.252465,0.274781,0.343095,0.270569,0.617876,0.117457,4.46563,0.279888,,-0.0251229,4.09005,-1.53226,69.1562,-0.0251229,0,-1.7978413328528404,0.2016049325466156,0.000445076,999,,,,,,,38.1,2.93076923,38.1,2.93076923,,,,,,,,,,,,,,,,,,,"Victor Mesa Jr.","sa3010700",683748
"Carlos D. Rodriguez","ATL",3.733,12.835,11.7878,3.06333,2.3079,0.597564,0.0733531,0.0845145,1.42492,1.0808,0.881322,0.0246771,1.89543,0.0552063,0.0807871,0.0299047,0.280187,0.242626,0.0941454,0.259873,0.0686655,0.147676,0.464973,0.312365,0.344521,0.289854,0.656886,0.0846481,4.85889,0.301237,,-0.015016,1.29145,-0.209965,83.5653,-0.015016,0,-0.26725865714251995,-0.17282406985759735,-0.00130795,999,,,,,,,10.7,2.675,10.7,2.675,,,,,,,,,,,,,,,,,,,"Carlos D. Rodriguez","sa3005478",677578
"Estevan Florial",,1.965,6.206,5.59089,1.14077,0.707984,0.245343,0.0274415,0.16,0.727911,0.558577,0.528104,0.0182976,2.14494,0.0378959,0.030727,0.0183806,0.0666253,0.258413,0.0791081,0.204041,0.0850957,0.345624,0.246209,0.275836,0.343594,0.27267,0.61943,0.139553,6.37407,0.295708,,0.00973298,0.538611,-0.187355,74.2533,0.00973298,0,-0.17721570283174515,-0.0684082880616188,-0.00401243,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Estevan Florial","19151",664314
"Joey Meneses","NYM",1.751,7.317,6.74846,1.61647,1.15961,0.29755,0.00801538,0.151295,0.705321,0.758132,0.442443,0.0153858,1.51463,0.0583075,0.0611295,0.00666355,0.16495,0.011133,0.00373593,0.239532,0.0604678,0.207001,0.292113,0.28962,0.353256,0.281678,0.642876,0.113725,2.16457,0.28485,,-0.0122693,0.688084,-0.167845,82.7691,-0.0122693,0,-0.1630347454920411,-0.1344245970249176,-0.00555592,999,,,,,,,4.2,2.1,4.2,2.1,,,,,,,,,,,,,,,,,,,"Joey Meneses","14366",608841
