Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Yusei Kikuchi,LAA,11.1597,10.0645,15.9833,3.73687,30.78,30.78,0.0,0.0,176.11,728.026,156.338,78.9067,73.1221,24.4205,54.6231,,6.0215,195.728,10.0026,2.79149,3.58325,1.248,0.268848,0.0750291,0.1938190385699272,0.234256,1.1979,0.294965,0.747031,0.420444,,3.77942,3.06527,3.15444,142.8300018310547,,,,20633,1.556093376427645,-4.27051313217338e+16
Sean Manaea,NYM,11.2206,10.3206,15.9179,4.01355,30.78,30.78,0.0,0.0,181.467,769.581,165.991,87.0748,80.9253,25.4054,63.8152,,8.4569,182.288,9.04072,3.16496,2.8565,1.26,0.236867,0.082922,0.1539449468255043,0.238045,1.26638,0.287135,0.734825,0.391239,,4.17223,2.01821,2.13913,181.5399932861328,,,,15873,1.5410786406947856,-4.229306976363828e+16
Seth Lugo,KCR,10.9246,11.163,16.8808,4.15534,30.78,30.78,0.0,0.0,190.341,811.344,194.31,94.977,87.8815,23.4543,53.6769,,7.7638,165.531,7.82689,2.53803,3.08385,1.109,0.204021,0.066158,0.1378630921244621,0.259114,1.30285,0.304601,0.711175,0.433653,,3.99744,2.65413,2.68257,181.1300048828125,,,,12447,1.5296805208469737,-4.198026192556424e+16
MacKenzie Gore,WSN,10.7064,10.439,15.655,3.75114,30.78,30.78,0.0,0.0,174.386,733.331,151.958,78.6016,72.6829,21.6045,65.1454,,7.4976,187.976,9.70138,3.36213,2.88549,1.115,0.256332,0.0888349,0.1674969419836998,0.23,1.24496,0.288963,0.741218,0.407592,,3.87087,2.68158,3.07727,191.3800048828125,,,,22201,1.5225394393604659,-4.178428344041663e+16
José Berríos,TOR,10.6978,11.9123,16.1142,4.26317,32.0,32.0,0.0,0.0,191.392,818.614,193.325,97.6669,90.6596,27.4329,53.0912,,10.5372,166.993,7.85267,2.49656,3.1454,1.29,0.203995,0.064855,0.1391400471329689,0.256064,1.28749,0.29594,0.715106,0.418628,,4.28213,1.92115,1.67813,236.8800048828125,,,,14168,1.5052350404570678,-4.130938480077986e+16
Shota Imanaga,CHC,11.41,9.4241,17.5442,3.6424,29.16,29.16,0.0,0.0,179.749,740.014,166.486,78.3152,72.7466,25.8839,38.0589,,5.8158,182.214,9.12342,1.9056,4.78769,1.296,0.246231,0.05143,0.1948010474443435,0.239156,1.13794,0.288094,0.749994,0.368326,,3.74332,3.01067,3.29587,73.0,,,,33829,1.5011501020802132,-4.119727852716712e+16
Taj Bradley,TBR,10.1904,10.1529,15.2814,3.87636,29.16,29.16,0.0,0.0,170.449,713.775,152.209,79.0272,73.4137,23.2948,57.521,,5.738,181.832,9.60101,3.0372,3.16114,1.23,0.254747,0.080587,0.1741599291563034,0.233982,1.23045,0.289442,0.737945,0.393567,,3.92298,2.35285,2.28461,185.7100067138672,,,,22543,1.4796482846052728,-4.060718672880005e+16
Jordan Romano,PHI,3.0851,2.7921,0.0,3.87999,60.0,0.0,24.372,4.0314,60.0,253.271,52.6392,27.8067,25.8666,7.67333,23.0439,,2.6059,64.083,9.61245,3.45658,2.78091,1.151,0.253021,0.0909851,0.1620363295078277,0.231258,1.26138,0.288493,0.737236,0.389584,,3.97543,0.315382,0.403751,188.7100067138672,,,,16122,1.478383918417523,-4.057248770308311e+16
Pete Fairbanks,TBR,3.1365,2.741,0.0,3.4127,60.0,0.0,24.494,5.5416,60.0,249.688,49.6884,24.7392,22.7513,6.14,22.8604,,2.3213,68.7034,10.3055,3.42906,3.00535,0.921,0.275157,0.0915559,0.1836011484265327,0.221323,1.20915,0.290977,0.747576,0.426531,,3.46578,0.612654,0.520387,155.2100067138672,,,,17998,1.4752729166586207,-4.048710996118882e+16
Jacob deGrom,TEX,11.2194,6.7783,16.6092,2.84406,25.92,25.92,0.0,0.0,152.018,601.811,115.403,52.1347,48.0385,17.0091,30.0352,,4.924,205.907,12.1904,1.7782,6.85551,1.007,0.342145,0.049908,0.2922369353473186,0.203586,0.956719,0.286081,0.767137,0.382932,,2.60195,5.15873,4.3575,37.880001068115234,,,,10954,1.4676077218843868,-4.02767478104342e+16
Tanner Bibee,CLE,10.3727,10.1405,15.7677,3.87714,29.16,29.16,0.0,0.0,173.454,727.575,159.885,80.2404,74.7228,24.3992,48.6646,,7.6839,178.015,9.23667,2.52506,3.658,1.266,0.244669,0.066886,0.1777831763029098,0.238199,1.20234,0.288999,0.735757,0.365081,,3.91714,2.54912,2.42866,86.20999908447266,,,,30134,1.4601347817135584,-4.007166185853115e+16
Mitch Keller,PIT,10.1047,11.5301,15.215,4.24838,30.78,30.78,0.0,0.0,182.036,776.602,179.804,92.5715,85.9284,22.7544,56.7463,,10.7474,164.9,8.15279,2.80559,2.90591,1.125,0.212335,0.07307,0.1392649114131927,0.253563,1.29947,0.301176,0.703385,0.429202,,4.09206,2.30753,2.31751,289.9200134277344,,,,17594,1.4515927543624192,-3.9837236080933096e+16
Sandy Alcantara,MIA,9.7187,10.5272,17.4911,3.79852,27.54,27.54,0.0,0.0,178.339,746.502,176.123,82.1135,75.2695,19.5975,44.9663,,7.1619,160.641,8.10682,2.26925,3.57246,0.989,0.215191,0.060236,0.1549549698829651,0.253643,1.23971,0.304443,0.717654,0.479823,,3.67041,3.12712,3.1528,160.8300018310547,,,,18684,1.4471467750458171,-3.971522146828493e+16
