Name,auction_value
CJ Rodriguez,-inf
E.J. Exposito,-inf
Nate Baez,-inf
Jason Matthews,-inf
Kaelen Culpepper,-inf
Tyler Hardman,-inf
Keiner Delgado,-inf
Aeverson Arteaga,-inf
Chase Adkison,-inf
Colton Ledbetter,-inf
Dylan Jasso,-inf
Cade Hunter,-inf
Gage Miller,-inf
Luis Escudero,-inf
Dario Laverde,-inf
Alejandro Nunez,-inf
Anyelo Encarnacion,-inf
JJ Wetherholt,-inf
Jose Devers,-inf
Nerwilian Cedeño,-inf
Jean Perez,-inf
Jason Hinchman,-inf
Echedry Vargas,-inf
Oswaldo Linares,-inf
Wilder Dalis,-inf
Jared McKenzie,-inf
Daniel Flames,-inf
Kevin Bruggeman,-inf
Sam Mongelli,-inf
Filippo Di Turi,-inf
Sam Praytor,-inf
Austin Charles,-inf
Omar Hernandez,-inf
Austin Hendrick,-inf
Jackson Feltner,-inf
Hunter Fitz-Gerald,-inf
Luis Valdez,-inf
Leodalis De Vries,-inf
Adrian De Leon,-inf
Rosman Verdugo,-inf
Jose Meza,-inf
Dionmy Salon,-inf
Cameron Cauley,-inf
Manuel Palencia,-inf
Brenny Escanio,-inf
Edwin Amparo,-inf
Blake Mitchell,-inf
Miguel Briceno,-inf
Anthony Hall,-inf
John Peck,-inf
Isaac De León,-inf
Brett Callahan,-inf
Trey Paige,-inf
Lisbel Diaz,-inf
Ruben Santana,-inf
Shawn Ross,-inf
Thomas Gavello,-inf
Bryce Arnold,-inf
Rodolfo Nolasco,-inf
Yophery Rodriguez,-inf
Kyle Nevin,-inf
Anderdson Rojas,-inf
Noelberth Romero,-inf
Jack Moss,-inf
Alexander Suarez,-inf
Aldalay Kolokie,-inf
Luke Brown,-inf
Yhoswar Garcia,-inf
Roque Salinas,-inf
Murphy Stehly,-inf
Bennett Lee,-inf
Joshua Baez,-inf
Gavin Logan,-inf
Sammy Hernandez,-inf
Caleb Ketchup,-inf
Tatem Levins,-inf
Ethan Salas,-inf
Manuel Beltre,-inf
Roc Riggio,-inf
Onil Perez,-inf
Chance Sisco,-inf
Jesús Bastidas,-inf
Blaine Crim,-inf
Nathan Hickey,-inf
Justin Wishkoski,-inf
BJ Murray Jr.,-inf
Brennen Davis,-inf
Brewer Hicklen,-inf
Jeferson Morales,-inf
Andrew Pintar,-inf
Andy Weber,-inf
Ryan Kreidler,-inf
Braden Shewmake,-inf
Douglas Hodo III,-inf
Shayne Fontana,-inf
Caleb Roberts,-inf
Matt Lloyd,-inf
Kevin McGonigle,-inf
Charles McAdoo,-inf
Matt Kroon,-inf
Jordan Diaz,-inf
Walker Jenkins,-inf
Jhostynxon Garcia,-inf
Yunior Severino,-inf
Otto Kemp,-inf
Jack Blomgren,-inf
Imanol Vargas,-inf
Aaron Zavala,-inf
R.J. Yeager,-inf
Stephen Scott,-inf
Roman Quinn,-inf
Terrell Tatum,-inf
Tsung-Che Cheng,-inf
Myles Straw,-inf
Nick Podkul,-inf
Kyler Fedko,-inf
Yohandy Morales,-inf
Braxton Fulford,-inf
Darick Hall,-inf
TJ Hopkins,-inf
Yeiner Fernandez,-inf
Ronaiker Palma,-inf
Nelson Rada,-inf
Yanquiel Fernandez,-inf
Samad Taylor,-inf
Tyler Dearden,-inf
David Villar,-inf
Owen Miller,-inf
Luke Adams,-inf
Kyle Karros,-inf
Jason Krizan,-inf
Dru Baker,-inf
Travis Swaggerty,-inf
Tucker Flint,-inf
Josue De Paula,-inf
Ernesto Martinez Jr.,-inf
Carter Howell,-inf
Jonathan Ornelas,-inf
Will Simpson,-inf
Noah Cardenas,-inf
Yonny Hernández,-inf
John Rave,-inf
Rafael Flores,-inf
Ramón Rodríguez,-inf
Daylen Lile,-inf
Allan Castro,-inf
David McCabe,-inf
Gavin Cross,-inf
Gabriel Rincones Jr.,-inf
Malcom Nuñez,-inf
Maverick Handley,-inf
Daniel Cabrera,-inf
Warming Bernabel,-inf
Jaison Chourio,-inf
Yamal Encarnacion,-inf
Frederick Bencosme,-inf
Cam Devanney,-inf
Jac Caglianone,-inf
Nic Kent,-inf
Tyler Callihan,-inf
Tommy Sacco Jr.,-inf
A.J. Vukovich,-inf
Colin Moran,-inf
Brian O'Keefe,-inf
Gavin Collins,-inf
Michael Turconi,-inf
Jack Pineda,-inf
Carlos Cortes,-inf
Tanner Murray,-inf
Ramon Mendoza,-inf
Eddys Leonard,-inf
Alex Isola,-inf
Eliezer Alfonzo,-inf
Chase Strumpf,-inf
Wes Clarke,-inf
Quincy McAfee,-inf
Kody Huff,-inf
Tristin English,-inf
Kristian Robinson,-inf
Austin Nola,-inf
Joe Lampe,-inf
Payton Henry,-inf
Austin Murr,-inf
Jax Biggers,-inf
Cody Milligan,-inf
David Fletcher,-inf
Ronny Simon,-inf
Ben Williamson,-inf
Zach Zubia,-inf
Luca Tresh,-inf
César Prieto,-inf
Nathan Martorella,-inf
Drew Avans,-inf
Corey Rosier,-inf
Matthew Etzel,-inf
Andrew Kachel,-inf
Sam Huff,-inf
Paul McIntosh,-inf
Abimelec Ortiz,-inf
Geraldo Quintero,-inf
Zach Kokoska,-inf
Hudson Haskin,-inf
Hendry Mendez,-inf
Raynel Delgado,-inf
Andrick Nava,-inf
Rainer Nunez,-inf
Diego Velasquez,-inf
Armando Alvarez,-inf
Cole Carrigg,-inf
Drew Ehrhard,-inf
Riley Unroe,-inf
Jacob Amaya,-inf
Nick Dini,-inf
Matt Higgins,-inf
Riley Tirotta,-inf
AJ Lewis,-inf
T.J. Rumfield,-inf
Conner Capel,-inf
Jacob Robson,-inf
Drew Gilbert,-inf
Jake Holton,-inf
Jesus Rodriguez,-inf
Francisco Urbaez,-inf
Nick Martini,-inf
Blake Dunn,-inf
Turner Hill,-inf
Ismael Munguia,-inf
Enrique Bradfield Jr.,-inf
Pablo Reyes,-inf
Matt Beaty,-inf
Jack Dunn,-inf
Braiden Ward,-inf
Ryan Ritter,-inf
César Salazar,-inf
Kenedy Corona,-inf
Sergio Alcántara,-inf
Harry Ford,-inf
Logan Driscoll,-inf
Grae Kessinger,-inf
Hoy Park,-inf
Blake Sabol,-inf
C.J. Kayfus,-inf
Juan Guerrero,-inf
Matthew Lugo,-inf
Osleivis Basabe,-inf
Jett Williams,-inf
Hao-Yu  Lee,-inf
Victor Mesa Jr.,-inf
Steward Berroa,-inf
Guy Lipscomb,-inf
Livan Soto,-inf
Seby Zavala,-inf
Alika Williams,-inf
Mario Camilletti,-inf
Mike Boeve,-inf
Brett Bateman,-inf
Casey Schmitt,-inf
Dalton Rushing,-inf
Jeferson Quero,-inf
Everson Pereira,-inf
Hunter Feduccia,-inf
Nick Solak,-inf
Anthony Prato,-inf
Benjamin Cowles,-inf
Nate Furman,-inf
Miles Mastrobuoni,-inf
Johnathan Rodriguez,-inf
Gino Groover,-inf
Christian Franklin,-inf
Jahmai Jones,-inf
Jordan Groshans,-inf
Yonathan Perlaza,-inf
Vimael Machín,-inf
Robert Hassell III,-inf
Phillip Glasser,-inf
George Valera,-inf
Termarr Johnson,-inf
Spencer Packard,-inf
Christian Cerda,-inf
Vinny Capra,-inf
Edward Olivares,-inf
Justin Foscue,-inf
Petey Halpin,-inf
Charles Leblanc,-inf
Xavier Isaac,-inf
Alex Freeland,-inf
Sammy Siani,-inf
Blake Rambusch,-inf
Christian Cairo,-inf
Jake Thompson,-inf
Sterlin Thompson,-inf
Carson Taylor,-inf
Nathan Church,-inf
Ryan Clifford,-inf
Luke Waddell,-inf
Trevor Hauver,-inf
Nick Cimillo,-inf
Kobe Kato,-inf
Justice Bigbie,-inf
Joey Meneses,-inf
Michael Turner,-inf
Sal Stewart,-inf
Shane Sasaki,-inf
Jake Alu,-inf
Tristan Peters,-inf
Carter Kieboom,-inf
Darius Hill,-inf
Jeisson Rosario,-inf
Hayden Cantrelle,-inf
Blaze Jordan,-inf
Wyatt Young,-inf
Donovan Walton,-inf
Ryan Vilade,-inf
Anthony Seigler,-inf
Dylan O'Rae,-inf
Carter Jensen,-inf
Heriberto Hernandez,-inf
Cadyn Grenier,-inf
Ripken Reyes,-inf
Benny Montgomery,-inf
Romeo Sanabria,-inf
Dylan Beavers,-inf
Troy Johnston,-inf
Ricardo Olivar,-inf
Brandon Valenzuela,-inf
Matt Rudick,-inf
Corey Joyce,-inf
Tucupita Marcano,-inf
James Triantos,-inf
Akil Baddoo,-inf
Justin Crawford,-inf
Kellen Strahm,-inf
Josh Kasevich,-inf
Logan Porter,-inf
JT Schwartz,-inf
Tres Gonzalez,-inf
Alejandro Osuna,-inf
Luke Ritter,-inf
Samuel Basallo,-inf
Cal Mitchell,-inf
Brennan Milone,-inf
Dominic Keegan,-inf
Kody Clemens,-inf
Jimmy Herron,-inf
Stone Garrett,-inf
Rhylan Thomas,-inf
Darrien Miller,-inf
Aaron McKeithan,-inf
Jeremy Arocho,-inf
Kevin Alcántara,-inf
Peyton Wilson,-inf
Shane McGuire,-inf
Kyren Paris,-inf
Kala'i Rosario,-inf
Ethan Workinger,-inf
Ali Sánchez,-inf
David Martin,-inf
Jairo Pomares,-inf
Jesse Franklin V,-inf
Silas Ardoin,-inf
Kervin Pichardo,-inf
Drew Swift,-inf
Cody Freeman,-inf
Jair Camargo,-inf
Dakota Harris,-inf
Yoelqui Céspedes,-inf
Brenden Dixon,-inf
Jud Fabian,-inf
Willie MacIver,-inf
Kelvin Melean,-inf
Max Wagner,-inf
Cooper Johnson,-inf
Phillip Sikes,-inf
Gabriel Gonzalez,-inf
Diego Cartaya,-inf
Dustin Dickerson,-inf
Colt Emerson,-inf
Diego Hernandez,-inf
Jacob Berry,-inf
Patrick Winkel,-inf
Chad Bell,-inf
Luis Baez,-inf
Ben Gobbel,-inf
Caden Connor,-inf
Jack Winkler,-inf
Errol Robinson,-inf
Omar Martinez,-inf
Zach Daniels,-inf
Andy Thomas,-inf
Pablo Aliendo,-inf
Mikey Romero,-inf
Henry Bolte,-inf
L.J. Jones,-inf
David García,-inf
Josh Zamora,-inf
Spencer Jones,-inf
Jay Allen II,-inf
Cade Doughty,-inf
Kody Hoese,-inf
Mat Nelson,-inf
Adrian Pinto,-inf
Kaden Polcovich,-inf
J.T. Arruda,-inf
Aron Estrada,-inf
Alan Trejo,-inf
Jose Ramos,-inf
Griffin Lockwood-Powell,-inf
Logan Davidson,-inf
Austin Deming,-inf
Jorge Burgos,-inf
Chuckie Robinson,-inf
Euribiel Angeles,-inf
Jase Bowen,-inf
Cole Roederer,-inf
Jordyn Adams,-inf
Chris Williams,-inf
Anthony Vilar,-inf
Gabriel Martinez,-inf
Danny Serretti,-inf
Jonny Butler,-inf
Aaron Bracho,-inf
Ivan Melendez,-inf
Pedro Ramirez,-inf
Max Clark,-inf
Cam Collier,-inf
Hector Rodriguez,-inf
Rowdey Jordan,-inf
Eric Brown Jr.,-inf
Nate Nankil,-inf
Ryan McCarty,-inf
Cal Conley,-inf
Adam Hackenberg,-inf
Dominic Pitelli,-inf
Kevin Graham,-inf
Jack Brannigan,-inf
Grant Richardson,-inf
Nick Kahle,-inf
GJ Hill,-inf
Keyber Rodriguez,-inf
Sabin Ceballos,-inf
Mitch Jebb,-inf
Jackson Glenn,-inf
Aaron Sabato,-inf
Adrián Sugastey,-inf
Brendan Jones,-inf
Sam Brown,-inf
Luis Mieses,-inf
Nick Raposo,-inf
Connor Kaiser,-inf
Ethan Murray,-inf
Justin Johnson,-inf
Kahlil Watson,-inf
