Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Drew Rasmussen","TBR",7.9718,7.3642,9.0307,3.56264,43.44,19.44,0,0.667,127.857,529.483,119.626,55.2663,50.6122,13.7802,33.5959,,4.2422,124.193,8.74205,2.36485,3.69667,0.97,0.234555,0.0634504,0.17110446840524673,0.243317,1.19838,0.299276,0.731395,0.46349,,3.51273,1.93849,1.95302,229,,,,"25385"
"Nestor Cortes","MIL",8.6965,8.6398,10.5897,4.02097,40.68,22.68,0,0.584,146.219,612.781,135.93,69.5709,65.3266,22.9563,40.1718,,4.841,147.278,9.06521,2.47264,3.6662,1.413,0.240343,0.0655565,0.17478690296411514,0.239411,1.20437,0.284186,0.739988,0.31532,,4.11653,1.92451,1.91678,275.2900085449219,,,,"17874"
"José Berríos","TOR",10.6978,11.9123,16.1142,4.26317,32,32,0,0,191.392,818.614,193.325,97.6669,90.6596,27.4329,53.0912,,10.5372,166.993,7.85267,2.49656,3.1454,1.29,0.203995,0.064855,0.1391400471329689,0.256064,1.28749,0.29594,0.715106,0.418628,,4.28213,1.92115,1.67813,236.8800048828125,,,,"14168"
"Clay Holmes","NYM",9.2508,7.5806,11.1473,3.52372,45.06,21.06,0,0.6566,144.042,617.817,134.603,62.7728,56.396,11.4433,57.8851,,7.7246,134.827,8.42425,3.61676,2.32922,0.715,0.218232,0.093693,0.12453896552324295,0.243754,1.33633,0.303395,0.735066,0.572142,,3.69367,1.90762,2.09769,312.1700134277344,,,,"13649"
"Robbie Ray","SFG",9.5391,9.6537,14.1182,3.95777,27.54,27.54,0,0,160.564,678.058,144.746,75.7486,70.6085,22.925,51.034,,7.0728,173.505,9.72536,2.86058,3.39979,1.285,0.255885,0.075265,0.18062008172273636,0.233479,1.21932,0.287638,0.733307,0.365546,,3.94707,1.9057,2.08101,144.9600067138672,,,,"11486"
"Bryce Miller","SEA",10.3283,10.8575,15.277,3.87899,30.78,30.78,0,0,174.724,729.538,162.555,80.9657,75.306,24.9662,46.6423,,6.8307,167.545,8.63019,2.40253,3.59213,1.286,0.229659,0.063934,0.16572501510381699,0.240442,1.1973,0.284536,0.735928,0.372362,,4.02434,1.89984,2.0393,78.62999725341797,,,,"29837"
"Brandon Pfaadt","ARI",8.7908,7.8818,10.5625,3.99692,34.68,22.68,0,0.6122,139.301,582.079,135.213,66.4064,61.8641,18.9914,33.6795,,5.3703,136.236,8.80194,2.17597,4.04507,1.227,0.234051,0.0578607,0.176189836114645,0.248997,1.21242,0.299693,0.720188,0.388096,,3.8238,1.88997,2.08075,166.75,,,,"27782"
"Eduardo Rodriguez","ARI",9.1569,8.4234,11.2035,4.04971,34.3,24.3,0,0.6122,146.255,622.103,145.165,71.078,65.8101,17.9244,45.9062,,4.5656,135.547,8.34108,2.8249,2.9527,1.103,0.217886,0.073792,0.14409365504980087,0.253948,1.30642,0.304286,0.72295,0.419847,,3.94141,1.84013,2.03909,396.9200134277344,,,,"13164"
"Kutter Crawford","BOS",8.5574,9.3763,8.994,4.37585,48.68,22.68,0,0.64,150.634,637.179,146.133,77.8246,73.2393,23.8002,43.2208,,6.4189,146.204,8.73527,2.58233,3.38271,1.422,0.229455,0.0678315,0.161623015999794,0.248721,1.25704,0.292988,0.714778,0.335523,,4.26792,1.82889,1.73294,260.5,,,,"20531"
"Luis Gil","NYY",9.852,9.7838,11.7968,4.18109,37.54,27.54,0,0.6643,161.383,694.794,138.853,80.1654,74.9728,23.795,75.3366,,7.221,178.718,9.96674,4.20137,2.37226,1.327,0.257224,0.10843,0.1487940475344658,0.226797,1.32722,0.280819,0.740971,0.349285,,4.40312,1.81732,1.67233,192.0800018310547,,,,"21052"
