Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Armando Cruz,WSN,0.25,1.0,0.9435,0.1784,0.1405,0.0278,0.0023,0.0078,0.0731,0.0692,0.0386,0.0,0.182,0.008,0.007,0.0029,,0.0158,0.0047,0.189083,0.0386,0.182,0.212088,0.225654,0.248225,0.211373,0.473879,0.0591415,4.26733,0.224267,0.0,-0.000220202,0.0374527,-0.0795253,32.2986,-0.000220202,0.0,-0.0811780025396728,0.0120000001043081,-0.0037053,999.0,,,,sa3015695,-0.38747811479198246,-inf
Clayton Campbell,DET,0.25,1.0,0.9146,0.1496,0.1104,0.0252,0.0017,0.0123,0.0735,0.0676,0.0645,0.004,0.2912,0.011,0.007,0.0029,,0.0078,0.0022,0.163569,0.0645,0.2912,0.221497,0.225755,0.235185,0.207915,0.460939,0.071616,3.57827,0.222132,0.0,-0.000766646,0.0346699,-0.0823082,31.2332,-0.000766646,0.0,-0.0794503274955786,-0.0209999997168779,-0.00693146,999.0,,,,sa3018386,-0.3871888545824999,-inf
Arxy Hernandez,CHW,0.25,1.0,0.9308,0.1659,0.1263,0.0258,0.0022,0.0115,0.0714,0.0691,0.0483,0.0,0.296,0.011,0.007,0.0029,,0.007,0.002,0.178234,0.0483,0.296,0.163176,0.225855,0.247636,0.212617,0.473491,0.0694027,3.43602,0.244963,0.0,-0.000874846,0.0384541,-0.078524,32.8385,-0.000874846,0.0,-0.0777217291761189,0.0040000001899898,-0.004171,999.0,,,,sa3015693,-0.386841208581219,-inf
Hedbert Perez,MIL,0.25,1.0,0.9338,0.1706,0.1142,0.0295,0.0026,0.0243,0.0862,0.091,0.0483,0.001,0.3148,0.008,0.007,0.0029,,0.0116,0.0034,0.182694,0.0483,0.3148,0.153431,0.22756,0.297922,0.230895,0.525482,0.115228,4.31063,0.243144,0.0,-0.000394787,0.0531653,-0.0638128,44.7024,-0.000394787,0.0,-0.0665200164366979,-0.0120000001043081,-0.00467012,999.0,,,,sa3014692,-0.3789747923013851,-inf
Tai Peete,SEA,0.25,1.0,0.9305,0.1656,0.1268,0.0265,0.0022,0.01,0.0735,0.0675,0.0526,0.001,0.3401,0.007,0.007,0.0029,,0.0234,0.0063,0.177969,0.0526,0.3401,0.15466,0.225855,0.24331,0.210459,0.469165,0.0653412,4.66708,0.264896,0.0,0.000665204,0.0367173,-0.0802608,38.2112,0.000665204,0.0,-0.0700340850162319,0.0120000001043081,-0.00255081,999.0,,,,sa3022966,-0.3863385619566926,-inf
Hunter Haas,TBR,0.25,1.0,0.9192,0.1544,0.1137,0.0278,0.0021,0.0108,0.0743,0.0676,0.0589,0.0,0.2991,0.012,0.007,0.0029,,0.0128,0.0036,0.167972,0.0589,0.2991,0.196924,0.225955,0.238033,0.210441,0.463988,0.0700609,4.10679,0.233003,0.0,-0.000354964,0.0367029,-0.0802751,35.8694,-0.000354964,0.0,-0.0737338177568744,0.0120000001043081,-0.00293291,999.0,,,,sa3022918,-0.3862456540894017,-inf
Elio Campos,ATL,0.25,1.0,0.9242,0.1595,0.1361,0.0172,0.0015,0.0047,0.0716,0.0599,0.0559,0.0,0.2502,0.01,0.007,0.0029,,0.0133,0.0038,0.172582,0.0559,0.2502,0.223421,0.226056,0.209695,0.199899,0.43575,0.0371132,3.85605,0.228893,0.0,-0.000473294,0.0282183,-0.0887598,23.0196,-0.000473294,0.0,-0.0925269976141862,0.0040000001899898,-0.00570362,999.0,,,,sa3016645,-0.3861006265543811,-inf
Beycker Barroso,TEX,0.25,1.0,0.9147,0.1499,0.1112,0.0222,0.002,0.0145,0.0778,0.0708,0.0614,0.0,0.3105,0.014,0.007,0.0029,,0.014,0.004,0.163879,0.0614,0.3105,0.197746,0.225955,0.240079,0.211804,0.466034,0.0761998,4.24088,0.226915,0.0,-0.000292752,0.0377996,-0.0791785,32.7951,-0.000292752,0.0,-0.0771892551565542,-0.0209999997168779,-0.00669795,999.0,,,,sa3015672,-0.3860258691598288,-inf
Enderson Delgado,TBR,0.25,1.0,0.9122,0.1475,0.1092,0.024,0.0016,0.0126,0.0739,0.0678,0.0639,0.0,0.311,0.014,0.007,0.0029,,0.0072,0.002,0.161697,0.0639,0.311,0.205466,0.226056,0.232844,0.209484,0.458899,0.0711467,3.54887,0.226494,0.0,-0.000846685,0.0359327,-0.0810454,35.1962,-0.000846685,0.0,-0.0749957721563987,0.0209999997168779,-0.00213374,999.0,,,,sa3018576,-0.38596043488409715,-inf
Malcolm Moore,TEX,0.25,1.0,0.9278,0.163,0.1148,0.0265,0.0019,0.0198,0.0827,0.0812,0.0503,0.0,0.3085,0.012,0.007,0.0029,,0.0135,0.0038,0.175684,0.0503,0.3085,0.163047,0.225955,0.272365,0.222016,0.49832,0.0966803,4.25607,0.236109,0.0,-0.000236772,0.0460189,-0.0709592,39.9785,-0.000236772,0.0,-0.0689139666646951,0.0209999997168779,-0.00150563,999.0,,,,sa3025250,-0.38574238342572187,-inf
Luis Pena,MIL,0.25,1.0,0.9408,0.1762,0.1421,0.0248,0.0024,0.0069,0.0749,0.0682,0.0383,0.0,0.2164,0.011,0.007,0.0029,,0.0303,0.0082,0.187287,0.0383,0.2164,0.176987,0.226156,0.240753,0.209282,0.466908,0.0534651,5.09036,0.233678,0.0,0.00122834,0.0357702,-0.0812079,30.1557,0.00122834,0.0,-0.0822919850470498,0.0120000001043081,-0.00382034,999.0,,,,sa3024134,-0.38496057611188944,-inf
Jose De La Cruz,DET,0.25,1.0,0.9267,0.1618,0.1149,0.024,0.0016,0.0213,0.0796,0.0812,0.0524,0.001,0.3613,0.011,0.007,0.0029,,0.0077,0.0022,0.174598,0.0524,0.3613,0.145032,0.225855,0.272904,0.221824,0.498759,0.0983058,3.57707,0.254945,0.0,-0.000750341,0.0458649,-0.0711132,41.0172,-0.000750341,0.0,-0.0682389811263419,-0.0120000001043081,-0.00484408,999.0,,,,sa3008747,-0.38632455186292985,-inf
Luis De Leon,SDP,0.25,1.0,0.9044,0.1293,0.1072,0.0152,0.0013,0.0055,0.0666,0.0534,0.0747,0.0,0.3197,0.011,0.007,0.0029,,0.0133,0.0037,0.142968,0.0747,0.3197,0.233657,0.215625,0.180783,0.186869,0.396408,0.0378151,3.83248,0.211191,0.0,-0.000360972,0.0177305,-0.0992475,19.1189,-0.000360972,0.0,-0.0970792087609879,-0.0120000001043081,-0.0078262,999.0,,,,sa3021148,-0.42890166621735093,-inf
Nicolas Deschamps,TOR,0.25,1.0,0.9002,0.14,0.1003,0.0233,0.0022,0.0142,0.0768,0.0689,0.0769,0.0,0.3682,0.013,0.007,0.0029,,0.0096,0.0027,0.155521,0.0769,0.3682,0.208854,0.230569,0.233615,0.213242,0.464183,0.0780938,4.04203,0.23971,0.0,-0.000674656,0.0389569,-0.0780212,35.1371,-0.000674656,0.0,-0.0748914017458446,0.0209999997168779,-0.00212296,999.0,,,,sa3017732,-0.3673040818358842,-inf
David Beckles,TOR,0.25,1.0,0.9112,0.136,0.1055,0.0168,0.0011,0.0126,0.0707,0.0644,0.0689,0.002,0.3216,0.01,0.007,0.0029,,0.0083,0.0023,0.149254,0.0689,0.3216,0.214241,0.215525,0.211589,0.195934,0.427114,0.0623354,3.38034,0.211301,0.0,-0.000711093,0.0250268,-0.0919513,22.9627,-0.000711093,0.0,-0.0888579430175013,-0.0120000001043081,-0.00697356,999.0,,,,sa3018441,-0.4291207317732789,-inf
Newremberg Rondon,DET,0.25,1.0,0.9438,0.1578,0.1241,0.0219,0.0016,0.0102,0.0668,0.0656,0.0363,0.003,0.2653,0.01,0.007,0.0029,,0.007,0.0019,0.167196,0.0363,0.2653,0.136826,0.204694,0.226213,0.191623,0.430907,0.0590167,3.55721,0.21857,0.0,-0.000690704,0.0215571,-0.095421,19.773,-0.000690704,0.0,-0.092487153946422,-0.0289999991655349,-0.0091041,999.0,,,,sa3015653,-0.4736415076220861,-inf
Luis Aguilera,DET,0.25,1.0,0.9317,0.1456,0.1205,0.0155,0.0029,0.0067,0.0637,0.0579,0.0484,0.0,0.2683,0.01,0.007,0.0029,,0.0107,0.003,0.156273,0.0484,0.2683,0.180395,0.204593,0.200708,0.185126,0.405302,0.0444349,4.1388,0.209281,0.0,-0.000486973,0.0163277,-0.10065,15.2028,-0.000486973,0.0,-0.0975127776910085,0.0040000001899898,-0.00621497,999.0,,,,sa3024374,-0.4741355696976759,-inf
